name,lat,lng,type,size,Primary Market,Airing,Initial support from the Corporation for Public Broadcasting,PRX Dovetail hosts,Testimonial,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25,Shows
WVDS-FM:,38.9926097,-79.1239239,broadcast,xlarge,"Petersburg, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVBY-FM:,37.7765659,-81.1851434,broadcast,xlarge,"Beckley, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVBL-FM:,38.3498195,-81.6326234,broadcast,xlarge,"Charleston, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WEKU-FM:,38.0389091,-84.5152662,broadcast,xlarge,"Lexington-Fayette, KY","Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life",,,,,,,,,,,,,8
WEKP-FM:,36.76203,-83.6949176,broadcast,xlarge,"Pineville, KY","Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life",,,,,,,,,,,,,8
WEKH-FM:,37.24954,-83.1932284,broadcast,xlarge,"Hazard, KY","Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life",,,,,,,,,,,,,8
WEKF-FM:,36.9486986,-84.0968761,broadcast,xlarge,"Corbin, KY","Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life",,,,,,,,,,,,,8
KUHB-FM:,57.1208002,-170.2829517,broadcast,xlarge,"St. Paul Island, AK","Left, Right & Center | Living On Earth | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
KTOO-FM:,58.3004933,-134.4201306,broadcast,xlarge,"Juneau, AK","Left, Right & Center | Living On Earth | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
WEVS-FM:,42.7581256,-71.4651747,broadcast,xlarge,"Nashua, NH",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WEVQ-FM:,44.3060969,-71.7703013,broadcast,xlarge,"Littleton, NH",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WEVO-FM:,43.2062206,-71.5398156,broadcast,xlarge,"Concord, NH",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WEVN-FM:,42.933692,-72.2781409,broadcast,xlarge,"Keene, NH",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WEVJ-FM:,44.1462613,-71.1850996,broadcast,xlarge,"Jackson, NH",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WEVH-FM:,43.7022451,-72.2895526,broadcast,xlarge,"Hanover, NH",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WEVF-FM:,40.0189728,-105.2747406,broadcast,xlarge,"Boulder, CO",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WEVC-FM:,44.4686696,-71.1850768,broadcast,xlarge,"Berlin, NH",Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World,,,,,,,,,,,,,8
WNJZ-FM:,39.0826135,-74.8237786,broadcast,xlarge,"Cape May Court House, NJ",Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think,,,,,,,,,,,,,8
WNJS-FM:,39.7913685,-74.9293769,broadcast,xlarge,"Berlin, NJ",Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think,,,,,,,,,,,,,8
WNJN-FM:,39.3636917,-74.4291041,broadcast,xlarge,"Atlantic City, NJ",Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think,,,,,,,,,,,,,8
WNJM-FM:,39.695397,-74.2587527,broadcast,xlarge,"Manahawkin, NJ",Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think,,,,,,,,,,,,,8
WNJB-FM:,39.4269713,-75.2341766,broadcast,xlarge,"Bridgeton, NJ",Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think,,,,,,,,,,,,,8
WHYY-FM:,39.9525839,-75.1652215,broadcast,xlarge,"Philadelphia, PA",Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | Think,,,,,,,,,,,,,8
WSCN-FM:,46.7844571,-92.1055411,broadcast,xlarge,"Duluth, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
WLSN-FM:,47.7504469,-90.3342727,broadcast,xlarge,"Grand Marais, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
WIRN-FM:,47.4935403,-92.7779599,broadcast,xlarge,"Buhl, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
WIRC-FM:,47.9032372,-91.8670873,broadcast,xlarge,"Ely, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
WINH-FM:,46.7844571,-92.1055411,broadcast,xlarge,"Duluth, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
WGRH-FM:,46.015,-92.9388889,broadcast,xlarge,"Hinckley, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
KZSE-FM:,44.0193287,-92.4588327,broadcast,xlarge,"Rochester, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
KXLC-FM:,43.8264695,-91.3035514,broadcast,xlarge,"La Crescent, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
KRXW-FM:,48.8460926,-95.762766,broadcast,xlarge,"Roseau, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
KRFI-FM:,44.5394039,-95.1169424,broadcast,xlarge,Redwood Falls.MN,"Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
KNWF-FM:,46.283471,-96.0778061,broadcast,xlarge,"Fergus Fall, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
KNTN-FM:,48.1191353,-96.1811473,broadcast,xlarge,"Thief River Falls, MN","Latino USA | Left, Right & Center | Live Wire | Reveal | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge",,,,,,,,,,,,,8
